date,last_available_confirmed,last_available_deaths,new_confirmed,new_deaths,mean_confirmed,mean_deaths,pct_change_confirmed,pct_change_deaths
2020-12-17,101706,2387,558,6,673.7142857142857,5.142857142857143,0.5426889106967614,0.2857142857142858
2020-12-18,101810,2394,104,7,606.8571428571429,5.428571428571429,0.520400858983536,0.3571428571428572
2020-12-19,103042,2401,1232,7,652.8571428571429,5.714285714285714,0.9471665956540265,0.3793103448275861
2020-12-20,103955,2407,913,6,686.2857142857143,6.0,0.07882326521446226,0.4482758620689653
2020-12-21,104426,2413,471,6,667.5714285714286,6.142857142857143,-0.07023477914842824,0.482758620689655
2020-12-22,105018,2420,592,7,663.8571428571429,6.571428571428571,-0.09007244957900917,0.586206896551724
2020-12-23,105673,2427,655,7,646.4285714285714,6.571428571428571,-0.16605234058238105,0.5333333333333332
2020-12-24,106896,2434,1223,7,741.4285714285714,6.714285714285714,-0.015553869499241202,0.5161290322580645
2020-12-25,107721,2441,825,7,844.4285714285714,6.714285714285714,0.02461431790604962,0.46875
2020-12-26,108166,2448,445,7,732.0,6.714285714285714,-0.22574796010879417,0.46875
2020-12-27,108943,2454,777,6,712.5714285714286,6.714285714285714,0.061276595744680806,0.46875
2020-12-28,110001,2461,1058,7,796.4285714285714,6.857142857142857,0.21751474120987124,0.45454545454545436
2020-12-29,110804,2468,803,7,826.5714285714286,6.857142857142857,0.1861418614186141,0.45454545454545436
2020-12-30,111735,2476,931,8,866.0,7.0,0.26239067055393583,0.3999999999999999
2020-12-31,112505,2484,770,8,801.2857142857143,7.142857142857143,0.18935538592027168,0.38888888888888884
2021-01-01,113544,2492,1039,8,831.8571428571429,7.285714285714286,0.3707627118644068,0.3421052631578947
2021-01-02,113916,2500,372,8,821.4285714285714,7.428571428571429,0.2582056892778992,0.30000000000000004
2021-01-03,114685,2508,769,8,820.2857142857143,7.714285714285714,0.19525395503746878,0.2857142857142858
2021-01-04,115636,2516,951,8,805.0,7.857142857142857,0.205863471003638,0.2790697674418603
2021-01-05,116779,2524,1143,8,853.5714285714286,8.0,0.28577576931353543,0.21739130434782616
2021-01-06,117818,2532,1039,8,869.0,8.0,0.3443093922651934,0.21739130434782616
2021-01-07,119045,2544,1227,12,934.2857142857143,8.571428571428571,0.26011560693641633,0.2765957446808509
2021-01-08,120262,2554,1217,10,959.7142857142857,8.857142857142858,0.13652512265268135,0.3191489361702129
2021-01-09,121222,2563,960,9,1043.7142857142858,9.0,0.42583918813427024,0.34042553191489366
2021-01-10,122594,2574,1372,11,1129.857142857143,9.428571428571429,0.58560545308741,0.4042553191489362
2021-01-11,123836,2585,1242,11,1171.4285714285713,9.857142857142858,0.47085201793721954,0.4375000000000002
