data,leitos_publico,ocupacao_publico,leitos_privado,ocupacao_privado,taxa_publico,taxa_privado
2021-05-22,239,232,190,168,0.9707112970711297,0.8842105263157894
2021-05-23,221,216,190,172,0.9773755656108597,0.9052631578947369
2021-05-24,228,224,185,172,0.9824561403508771,0.9297297297297298
2021-05-25,239,237,185,166,0.9916317991631799,0.8972972972972973
2021-05-26,239,233,185,165,0.9748953974895398,0.8918918918918919
2021-05-27,239,234,185,166,0.9790794979079498,0.8972972972972973
2021-05-28,239,231,180,164,0.9665271966527197,0.9111111111111111
2021-05-29,239,228,180,167,0.9539748953974896,0.9277777777777778
2021-05-30,229,225,180,170,0.982532751091703,0.9444444444444444
2021-05-31,239,229,182,174,0.9581589958158996,0.9560439560439561
2021-06-01,228,227,182,165,0.9956140350877193,0.9065934065934066
2021-06-02,238,233,182,177,0.9789915966386554,0.9725274725274725
2021-06-03,228,225,182,174,0.9868421052631579,0.9560439560439561
2021-06-04,225,224,185,175,0.9955555555555555,0.9459459459459459
2021-06-05,226,224,185,174,0.9911504424778761,0.9405405405405406
2021-06-06,226,225,185,172,0.995575221238938,0.9297297297297298
2021-06-07,227,225,183,184,0.9911894273127754,1.005464480874317
2021-06-08,238,229,183,174,0.9621848739495799,0.9508196721311475
2021-06-09,238,231,183,170,0.9705882352941176,0.9289617486338798
2021-06-10,238,233,183,174,0.9789915966386554,0.9508196721311475
2021-06-11,238,233,183,171,0.9789915966386554,0.9344262295081968
2021-06-12,238,234,183,180,0.9831932773109243,0.9836065573770492
2021-06-13,238,231,183,162,0.9705882352941176,0.8852459016393442
2021-06-14,238,227,183,165,0.9537815126050421,0.9016393442622951
2021-06-15,238,229,180,157,0.9621848739495799,0.8722222222222222
2021-06-16,238,229,178,151,0.9621848739495799,0.848314606741573
2021-06-17,237,228,178,153,0.9620253164556962,0.8595505617977528
2021-06-18,237,229,178,149,0.9662447257383966,0.8370786516853933
2021-06-19,237,230,178,140,0.9704641350210971,0.7865168539325843
2021-06-20,237,223,178,140,0.9409282700421941,0.7865168539325843
2021-06-21,238,231,178,142,0.9705882352941176,0.797752808988764
2021-06-22,238,225,178,138,0.9453781512605042,0.7752808988764045
2021-06-23,238,225,178,141,0.9453781512605042,0.7921348314606742
2021-06-24,238,223,178,132,0.9369747899159664,0.7415730337078652
2021-06-25,238,217,176,134,0.9117647058823529,0.7613636363636364
2021-06-26,238,213,176,131,0.8949579831932774,0.7443181818181818
2021-06-27,238,206,176,125,0.865546218487395,0.7102272727272727
2021-06-28,238,205,176,114,0.8613445378151261,0.6477272727272727
2021-06-29,238,199,166,107,0.8361344537815126,0.6445783132530121
2021-06-30,238,187,156,106,0.7857142857142857,0.6794871794871795
2021-07-01,238,181,156,109,0.7605042016806722,0.6987179487179487
2021-07-02,238,166,146,107,0.6974789915966386,0.7328767123287672
2021-07-03,238,156,146,98,0.6554621848739496,0.6712328767123288
2021-07-04,238,148,146,95,0.6218487394957983,0.6506849315068494
2021-07-05,238,133,146,94,0.5588235294117647,0.6438356164383562
2021-07-06,238,126,146,92,0.5294117647058824,0.6301369863013698
2021-07-07,238,122,146,87,0.5126050420168067,0.5958904109589042
2021-07-08,238,119,136,81,0.5,0.5955882352941176
2021-07-09,238,120,136,70,0.5042016806722689,0.5147058823529411
2021-07-10,238,122,136,73,0.5126050420168067,0.5367647058823529
2021-07-11,238,114,136,75,0.4789915966386555,0.5514705882352942
2021-07-12,238,116,136,73,0.48739495798319327,0.5367647058823529
